DATE,CASES,HOSPITALIZATIONS,DEATHS
20200503,779,252,164
20200504,1547,293,143
20200505,1509,263,134
20200506,1403,249,134
20200507,1239,227,122
20200508,1088,235,115
20200509,670,162,92
20200510,462,133,82
20200511,1232,237,95
20200512,1272,196,79
20200513,1315,189,64
20200514,1085,130,56
20200515,847,113,62
20200516,455,87,51
20200517,297,59,47
20200518,591,58,21
20200519,273,18,16
20200520,NaN,NaN,NaN
20200521,NaN,NaN,NaN
20200522,NaN,NaN,NaN
20200523,NaN,NaN,NaN
20200524,NaN,NaN,NaN
20200525,NaN,NaN,NaN
20200526,NaN,NaN,NaN
20200527,NaN,NaN,NaN
20200528,NaN,NaN,NaN
20200529,NaN,NaN,NaN
20200530,NaN,NaN,NaN
20200531,NaN,NaN,NaN
20200601,NaN,NaN,NaN
20200602,NaN,NaN,NaN
20200603,NaN,NaN,NaN
20200604,NaN,NaN,NaN
20200605,NaN,NaN,NaN
20200606,NaN,NaN,NaN
20200607,NaN,NaN,NaN
20200608,NaN,NaN,NaN
20200609,NaN,NaN,NaN
20200610,NaN,NaN,NaN
20200611,NaN,NaN,NaN
20200612,NaN,NaN,NaN
20200613,NaN,NaN,NaN
20200614,NaN,NaN,NaN
20200615,NaN,NaN,NaN
20200616,NaN,NaN,NaN
20200617,NaN,NaN,NaN
20200618,NaN,NaN,NaN
20200619,NaN,NaN,NaN
20200620,NaN,NaN,NaN
20200621,NaN,NaN,NaN
20200622,NaN,NaN,NaN
20200623,NaN,NaN,NaN
20200624,NaN,NaN,NaN
20200625,NaN,NaN,NaN
20200626,NaN,NaN,NaN
20200627,NaN,NaN,NaN
20200628,NaN,NaN,NaN
20200629,NaN,NaN,NaN
20200630,NaN,NaN,NaN
20200701,NaN,NaN,NaN
20200702,NaN,NaN,NaN
20200703,NaN,NaN,NaN
20200704,NaN,NaN,NaN
20200705,NaN,NaN,NaN
20200706,NaN,NaN,NaN
20200707,NaN,NaN,NaN
20200708,NaN,NaN,NaN
20200709,NaN,NaN,NaN
20200710,NaN,NaN,NaN
20200711,NaN,NaN,NaN
20200712,NaN,NaN,NaN
20200713,NaN,NaN,NaN
20200714,NaN,NaN,NaN
20200715,NaN,NaN,NaN
20200716,NaN,NaN,NaN
20200717,NaN,NaN,NaN
20200718,NaN,NaN,NaN
20200719,NaN,NaN,NaN
20200720,NaN,NaN,NaN
20200721,NaN,NaN,NaN
20200722,NaN,NaN,NaN
20200723,NaN,NaN,NaN
20200724,NaN,NaN,NaN
20200725,NaN,NaN,NaN
20200726,NaN,NaN,NaN
20200727,NaN,NaN,NaN
20200728,NaN,NaN,NaN
20200729,NaN,NaN,NaN
20200730,NaN,NaN,NaN
20200731,NaN,NaN,NaN
20200801,NaN,NaN,NaN
20200802,NaN,NaN,NaN
20200803,NaN,NaN,NaN
20200804,NaN,NaN,NaN
20200805,NaN,NaN,NaN
20200806,NaN,NaN,NaN
20200807,NaN,NaN,NaN
20200808,NaN,NaN,NaN
20200809,NaN,NaN,NaN
20200810,NaN,NaN,NaN
20200811,NaN,NaN,NaN
20200812,NaN,NaN,NaN
20200813,NaN,NaN,NaN
20200814,NaN,NaN,NaN
20200815,NaN,NaN,NaN
20200816,NaN,NaN,NaN
20200817,NaN,NaN,NaN
20200818,NaN,NaN,NaN
20200819,NaN,NaN,NaN
20200820,NaN,NaN,NaN
20200821,NaN,NaN,NaN
20200822,NaN,NaN,NaN
20200823,NaN,NaN,NaN
20200824,NaN,NaN,NaN
20200825,NaN,NaN,NaN
20200826,NaN,NaN,NaN
20200827,NaN,NaN,NaN
20200828,NaN,NaN,NaN
20200829,NaN,NaN,NaN
20200830,NaN,NaN,NaN
20200831,NaN,NaN,NaN
20200901,NaN,NaN,NaN
20200902,NaN,NaN,NaN
20200903,NaN,NaN,NaN
20200904,NaN,NaN,NaN
20200905,NaN,NaN,NaN
20200906,NaN,NaN,NaN
20200907,NaN,NaN,NaN
20200908,NaN,NaN,NaN
20200909,NaN,NaN,NaN
20200910,NaN,NaN,NaN
20200911,NaN,NaN,NaN
20200912,NaN,NaN,NaN
20200913,NaN,NaN,NaN
20200914,NaN,NaN,NaN
20200915,NaN,NaN,NaN
20200916,NaN,NaN,NaN
20200917,NaN,NaN,NaN
20200918,NaN,NaN,NaN
20200919,NaN,NaN,NaN
20200920,NaN,NaN,NaN
20200921,NaN,NaN,NaN
20200922,NaN,NaN,NaN
20200923,NaN,NaN,NaN
20200924,NaN,NaN,NaN
20200925,NaN,NaN,NaN
20200926,NaN,NaN,NaN
20200927,NaN,NaN,NaN
20200928,NaN,NaN,NaN
20200929,NaN,NaN,NaN
20200930,NaN,NaN,NaN
20201001,NaN,NaN,NaN
20201002,NaN,NaN,NaN
20201003,NaN,NaN,NaN
20201004,NaN,NaN,NaN
20201005,NaN,NaN,NaN
20201006,NaN,NaN,NaN
20201007,NaN,NaN,NaN
20201008,NaN,NaN,NaN
20201009,NaN,NaN,NaN
20201010,NaN,NaN,NaN
20201011,NaN,NaN,NaN
20201012,NaN,NaN,NaN
20201013,NaN,NaN,NaN
20201014,NaN,NaN,NaN
20201015,NaN,NaN,NaN
20201016,NaN,NaN,NaN
20201017,NaN,NaN,NaN
20201018,NaN,NaN,NaN
20201019,NaN,NaN,NaN
20201020,NaN,NaN,NaN
20201021,NaN,NaN,NaN
20201022,NaN,NaN,NaN
20201023,NaN,NaN,NaN
20201024,NaN,NaN,NaN
20201025,NaN,NaN,NaN
20201026,NaN,NaN,NaN
20201027,NaN,NaN,NaN
20201028,NaN,NaN,NaN
20201029,NaN,NaN,NaN
20201030,NaN,NaN,NaN
20201031,NaN,NaN,NaN
20201101,NaN,NaN,NaN
20201102,NaN,NaN,NaN
20201103,NaN,NaN,NaN
20201104,NaN,NaN,NaN
20201105,NaN,NaN,NaN
20201106,NaN,NaN,NaN
20201107,NaN,NaN,NaN
20201108,NaN,NaN,NaN
20201109,NaN,NaN,NaN
20201110,NaN,NaN,NaN
20201111,NaN,NaN,NaN
20201112,NaN,NaN,NaN
20201113,NaN,NaN,NaN
20201114,NaN,NaN,NaN
20201115,NaN,NaN,NaN
20201116,NaN,NaN,NaN
20201117,NaN,NaN,NaN
20201118,NaN,NaN,NaN
20201119,NaN,NaN,NaN
20201120,NaN,NaN,NaN
20201121,NaN,NaN,NaN
20201122,NaN,NaN,NaN
20201123,NaN,NaN,NaN
20201124,NaN,NaN,NaN
20201125,NaN,NaN,NaN
20201126,NaN,NaN,NaN
20201127,NaN,NaN,NaN
20201128,NaN,NaN,NaN
20201129,NaN,NaN,NaN
20201130,NaN,NaN,NaN
20201201,NaN,NaN,NaN
20201202,NaN,NaN,NaN
20201203,NaN,NaN,NaN
20201204,NaN,NaN,NaN
20201205,NaN,NaN,NaN
20201206,NaN,NaN,NaN
20201207,NaN,NaN,NaN
20201208,NaN,NaN,NaN
20201209,NaN,NaN,NaN
20201210,NaN,NaN,NaN
20201211,NaN,NaN,NaN
20201212,NaN,NaN,NaN
20201213,NaN,NaN,NaN
20201214,NaN,NaN,NaN
20201215,NaN,NaN,NaN
20201216,NaN,NaN,NaN
20201217,NaN,NaN,NaN
20201218,NaN,NaN,NaN
20201219,NaN,NaN,NaN
20201220,NaN,NaN,NaN
20201221,NaN,NaN,NaN
20201222,NaN,NaN,NaN
20201223,NaN,NaN,NaN
20201224,NaN,NaN,NaN
20201225,NaN,NaN,NaN
20201226,NaN,NaN,NaN
20201227,NaN,NaN,NaN
20201228,NaN,NaN,NaN
20201229,NaN,NaN,NaN
20201230,NaN,NaN,NaN
20201231,NaN,NaN,NaN
